PERMNO,TICKER,COMNAM,date
15463,SPUN,VANECK VECTORS E T F TRUST,2018-08-01
91605,CPLA,CAPELLA EDUCATION CO,2018-08-01
16157,IGEM,VANECK VECTORS E T F TRUST,2018-08-01
92945,CYS,C Y S INVESTMENTS INC,2018-08-01
77279,ABAX,ABAXIS INC,2018-08-01
90761,KYE,KAYNE ANDERSON ENERGY TOT RET FD,2018-08-06
91452,KED,KAYNE ANDERSON ENERGY DEVELOP CO,2018-08-06
11003,WPZ,WILLIAMS PARTNERS LP NEW,2018-08-13
12149,JNP,JUNIPER PHARMACEUTICALS INC,2018-08-14
13658,XPLR,XPLORE TECHNOLOGIES CORP,2018-08-14
17492,TCHF,ISHARES TRUST,2018-08-16
17499,ERGF,ISHARES TRUST,2018-08-16
17500,CNSF,ISHARES TRUST,2018-08-16
17502,UTLF,ISHARES TRUST,2018-08-16
17501,CNDF,ISHARES TRUST,2018-08-16
17498,FNCF,ISHARES TRUST,2018-08-16
17493,INDF,ISHARES TRUST,2018-08-16
17497,MATF,ISHARES TRUST,2018-08-16
17496,HCRF,ISHARES TRUST,2018-08-16
80019,PRKR,PARKERVISION INC,2018-08-16
17509,HEUS,ISHARES TRUST,2018-08-16
17511,HEFV,ISHARES TRUST,2018-08-16
17510,HEUV,ISHARES TRUST,2018-08-16
17458,HACV,ISHARES TRUST,2018-08-16
15567,HHYX,ISHARES TRUST,2018-08-16
15573,HACW,ISHARES TRUST,2018-08-16
17475,HEMV,ISHARES INC,2018-08-16
90657,PAY,VERIFONE SYSTEMS INC,2018-08-20
88740,ARLZ,ARALEZ PHARMACEUTICALS INC,2018-08-20
87602,MATR,MATTERSIGHT CORP,2018-08-20
10913,FFKT,FARMERS CAPITAL BANK CORP,2018-08-21
69199,SHLM,SCHULMAN A INC,2018-08-21
91635,DCT,D C T INDUSTRIAL TRUST INC,2018-08-22
86802,HGT,HUGOTON ROYALTY TRUST,2018-08-24
10259,SIGM,SIGMA DESIGNS INC,2018-08-24
14418,ACSF,AMERICAN CAPITAL SR FLOATING LTD,2018-08-24
91974,AGC,ADVENT CLAYMORE CON SEC & INC FD,2018-08-27
16073,COTV,COTIVITI HOLDINGS INC,2018-08-27
90518,LCM,ADVENT CLAYMORE ENH GR & INC FD,2018-08-27
17455,USDY,HORIZONS E T F TR I,2018-08-27
15276,STDY,STEADYMED LTD,2018-08-30
92772,ILG,I L G INC,2018-09-04
89168,CHFN,CHARTER FINANCIAL CORP NEW,2018-09-04
13811,IBMG,ISHARES TRUST,2018-09-05
91069,GST,GASTAR EXPLORATION INC NEW,2018-09-06
13368,USAG,UNITED STATES CMDTY INDEX FDS TR,2018-09-07
12965,MTGE,M T G E INVESTMENT CORP,2018-09-07
93036,DNO,UNITED STATES SHORT OIL FUND LP,2018-09-07
92637,UHN,U S DIESEL HEATING OIL FD L P,2018-09-07
81030,RENX,RELX N V,2018-09-10
86314,XL,X L GROUP LTD,2018-09-12
90795,JMBA,JAMBA INC,2018-09-13
86260,ELON,ECHELON CORP,2018-09-14
16608,HCOR,HARTFORD FUNDS E T TRUST,2018-09-17
16609,HQBD,HARTFORD FUNDS E T TRUST,2018-09-17
91167,UCBA,UNITED COMMUNITY BANCORP NEW,2018-09-17
93344,BSPM,BIOSTAR PHARMACEUTICALS INC,2018-09-18
14455,EGLT,EGALET CORP,2018-09-18
93396,LKCO,LUOKUNG TECHNOLOGY CORP,2018-09-19
14335,CQH,CHENIERE ENERGY PTNRS LP HLDGS,2018-09-20
90524,EDR,EDUCATION REALTY TRUST INC,2018-09-20
91037,AAV,ADVANTAGE OIL & GAS LTD,2018-09-21
89811,MZF,MANAGED DURATION INVT GRD MUN FD,2018-09-24
16858,EMBU,DIREXION SHARES E T F TRUST,2018-09-25
17288,PPTB,DIREXION SHARES E T F TRUST,2018-09-25
15715,HAHA,C S O P ETF TRUST,2018-09-25
16316,SHNY,DIREXION SHARES E T F TRUST,2018-09-25
91616,NLST,NETLIST INC,2018-09-26
48291,XCRA,XCERRA CORP,2018-10-01
86157,COBZ,COBIZ FINANCIAL INC,2018-10-01
17448,LOGO,GLOBAL X FUNDS,2018-10-01
16262,PMPT,ETFIS SERIES TRUST I,2018-10-01
13409,RMGN,R M G NETWORKS HOLDING CORP,2018-10-01
37284,ANDV,ANDEAVOR,2018-10-01
84772,CGG,C G G,2018-10-01
16030,AVHI,A V HOMES INC,2018-10-02
12884,FBNK,FIRST CONNECTICUT BANCORP INC MD,2018-10-02
16313,KOR,ADVISORSHARES TRUST,2018-10-02
90531,PHH,P H H CORP,2018-10-04
17394,YESR,AMPLIFY ETF TRUST,2018-10-05
86305,CVG,CONVERGYS CORP,2018-10-05
12007,WMLP,WESTMORELAND RESOURCE PTNRS LP,2018-10-08
14425,CWAY,COASTWAY BANCORP INC,2018-10-08
90651,MSP,MADISON STRATEGIC SECTOR PREM FD,2018-10-08
43095,HYDI,HYDROMER INC,2018-10-09
15091,KLXI,K L X INC,2018-10-09
13889,GPT,GRAMERCY PROPERTY TRUST,2018-10-10
85319,SYNT,SYNTEL INC,2018-10-10
85675,EVHC,ENVISION HEALTHCARE CORP,2018-10-11
90984,WEB,WEB COM GROUP INC,2018-10-11
14070,CMDT,ISHARES DJ UBS ROLL SEL COMM IND,2018-10-11
85079,REIS,REIS INC,2018-10-15
16001,PNK,PINNACLE ENTERTAINMENT INC NEW,2018-10-15
13385,IMUC,IMMUNOCELLULAR THERAPEUTICS LTD,2018-10-16
90700,XRM,XERIUM TECHNOLOGIES INC,2018-10-17
16587,EGC,ENERGY XXI GULF COAST INC,2018-10-19
89304,ETP,ENERGY TRANSFER PARTNER LP,2018-10-19
79195,PERY,ELLIS PERRY INTERNATIONAL INC,2018-10-22
44951,SVU,SUPERVALU INC,2018-10-22
16574,SWIN,ALPS E T F TRUST,2018-10-22
89757,SHLD,SEARS HOLDINGS CORP,2018-10-23
15428,IVTY,INVUITY INC,2018-10-23
13818,PF,PINNACLE FOODS INC,2018-10-26
77768,PX,PRAXAIR INC,2018-10-31
15266,BHAC,BARINGTON HILCO ACQUISITION CORP,2018-11-01
13655,RLJE,R L J ENTERTAINMENT INC,2018-11-01
83965,EDGW,EDGEWATER TECHNOLOGY INC,2018-11-02
90238,SNMX,SENOMYX INC,2018-11-02
25778,CA,C A INC,2018-11-05
91655,ANW,AEGEAN MARINE PETROLEUM NETW INC,2018-11-05
92044,KS,KAPSTONE PAPER & PACKAGING CORP,2018-11-05
15652,EACQ,EASTERLY ACQUISITION CORP,2018-11-06
85909,DHCP,DITECH HOLDING CORP,2018-11-06
81614,WSCI,W S I INDUSTRIES INC,2018-11-08
14658,KTWO,K 2 M GROUP HOLIDINGS,2018-11-09
13329,PRSS,CAFEPRESS INC,2018-11-09
80421,KST,DEUTSCHE STRATEGIC INCOME TRUST,2018-11-12
75443,KMM,DEUTSCHE MULTI MARKET INCOME TR,2018-11-12
90982,CALL,MAGICJACK VOCALTEC LTD,2018-11-14
85019,KMG,K M G CHEMICALS INC,2018-11-15
17079,GLF,GULFMARK OFFSHORE INC,2018-11-16
12498,ANCB,ANCHOR BANCORP WA,2018-11-16
86899,LPNT,LIFEPOINT HEALTH INC,2018-11-16
12379,NBD,NUVEEN BUILD AMERICA BOND OPP FD,2018-11-19
13981,CBA,CLEARBRIDGE AMER ENER MLP FD INC,2018-11-19
77691,LDF,LATIN AMERICAN DISCOVERY FD INC,2018-11-19
14588,ZOES,ZOES KITCHEN INC,2018-11-21
17538,QXMI,NORTHERN LIGHTS FUND TR IV,2018-11-23
17535,QXRR,NORTHERN LIGHTS FUND TR IV,2018-11-23
14026,JONE,JONES ENERGY INC,2018-11-26
89014,COL,ROCKWELL COLLINS INC,2018-11-27
14594,CORI,CORIUM INTERNATIONAL INC,2018-11-27
15825,JHA,NUVEEN HIGH INC DEC18 TRGT TM FD,2018-11-27
17437,VMIN,EXCHANGE TRADED CONCEPTS TR,2018-11-27
16772,VESH,VIRTUS E T F TR II,2018-11-28
91603,AFSI,AMTRUST FINANCIAL SERVICES INC,2018-11-29
88845,AET,AETNA INC NEW,2018-11-29
26470,EGN,ENERGEN CORP,2018-11-30
93354,MITL,MITEL NETWORKS CORP,2018-12-03
85947,LHO,LASALLE HOTEL PROPERTIES,2018-12-03
93191,SEII,SHARING ECONOMY INTL INC,2018-12-04
82678,CDTI,C D T I ADVANCED MATERIALS INC,2018-12-04
12405,SODA,SODASTREAM INTERNATIONAL LTD,2018-12-06
13013,ORIG,OCEAN RIG U D W INC,2018-12-06
91075,ARII,AMERICAN RAILCAR INDUSTRIES INC,2018-12-06
12971,JTPY,JETPAY CORP,2018-12-07
76568,SONC,SONIC CORP,2018-12-07
13014,PBSK,POAGE BANKSHARES INC,2018-12-10
31974,FCE,FOREST CITY REALTY TRUST INC,2018-12-10
90354,OCLR,OCLARO INC,2018-12-10
82521,RSYS,RADISYS CORP,2018-12-12
77630,DWCH,DATAWATCH CORP,2018-12-13
88451,KERX,KERYX BIOPHARMACEUTICALS INC,2018-12-13
15441,YECO,YULONG ECOMATERIALS LTD,2018-12-13
15055,NAP,NAVIOS MARITIME MIDSTR PTNRS LP,2018-12-14
16867,FMDG,SPINNAKER E T F SERIES,2018-12-14
91859,GFA,GAFISA S A,2018-12-14
86550,EMI,EATON VANCE MICHIGAN MUN INC TR,2018-12-17
89594,NYH,EATON VANCE NY MUNI BOND FD II,2018-12-17
89590,MAB,EATON VANCE MA MUNICIPAL BD FD,2018-12-17
89588,EIA,EATON VANCE CA MUNI BD FD II,2018-12-17
89592,MIW,EATON VANCE MI MUNICIPAL BD FD,2018-12-17
92144,SEP,SPECTRA ENERGY PARTNERS L P,2018-12-17
93188,ABCD,CAMBIUM LEARNING GROUP INC,2018-12-18
14628,IBDH,ISHARES TRUST,2018-12-18
13933,MZOR,MAZOR ROBOTICS LTD,2018-12-19
87814,DTRM,DETERMINE INC,2018-12-19
86106,EEP,ENBRIDGE ENERGY PARTNERS LP,2018-12-20
12746,LKM,LINK MOTION INC,2018-12-20
89541,EEQ,ENBRIDGE ENERGY MGMT L L C,2018-12-20
17050,CCT,CORPORATE CAPITAL TRUST INC,2018-12-20
12575,ECYT,ENDOCYTE INC,2018-12-21
87496,XOXO,X O GROUP INC,2018-12-21
77668,ESRX,EXPRESS SCRIPTS HOLDING CO,2018-12-21
17861,OASI,O S I ETF TRUST,2018-12-21
16616,ONTL,O S I ETF TRUST,2018-12-21
14354,QYLD,HORIZONS E T F TR I,2018-12-24
16842,HSPX,HORIZONS E T F TR I,2018-12-24
15001,DAX,HORIZONS E T F TR I,2018-12-24
17439,ARVR,EXCHANGE LISTED FUNDS TRUST,2018-12-26
16267,DVMT,DELL TECHNOLOGIES INC,2018-12-28
80717,EOCC,ENEL GENERACION CHILE S A,2018-12-28
17755,BSCI,INVESCO ET SELF INDEX FD TR,2018-12-28
17756,BSJI,INVESCO ET SELF INDEX FD TR,2018-12-28
92433,RSLS,RESHAPE LIFESCIENCES INC,2018-12-28
89454,GOLD,RANDGOLD RESOURCES LTD,2018-12-31
15290,ESES,ECO STIM ENERGY INC,2018-12-31
14870,GNBC,GREEN BANCORP INC,2019-01-02
12696,STBZ,STATE BANK FINANCIAL CORP,2019-01-02
90948,GBNK,GUARANTY BANCORP,2019-01-02
23085,SCG,SCANA CORP NEW,2019-01-02
14851,FCB,F C B FINANCIAL HOLDINGS INC,2019-01-02
13309,SIR,SELECT INCOME REIT,2019-01-02
15128,HDP,HORTONWORKS INC,2019-01-03
16704,CVON,CONVERGEONE HOLDINGS INC,2019-01-04
93001,FBR,FIBRIA CELULOSE S A,2019-01-04
16925,FSAC,FEDERAL STREET ACQUISITION CORP,2019-01-04
85888,SHPG,SHIRE PLC,2019-01-07
78172,BBOX,BLACK BOX CORP DEL,2019-01-07
14342,VLP,VALERO ENERGY PARTNERS LP,2019-01-10
16282,APTI,APPTIO INC,2019-01-10
13080,IMPV,IMPERVA INC,2019-01-10
90129,INTX,INTERSECTIONS INC,2019-01-11
15349,EQGP,E Q G P HOLDINGS LP,2019-01-11
13502,EGL,ENGILITY HLDGS INC NEW,2019-01-14
83622,ARDM,ARADIGM CORP,2019-01-14
17442,FANZ,EXCHANGE LISTED FUNDS TRUST,2019-01-16
91677,HQCL,HANWHA Q CELLS CO LTD,2019-01-17
93399,NAUH,NATIONAL AMERICAN UNIV HLDGS INC,2019-01-18
86555,EVP,EATON VANCE PENN MUN INC TR,2019-01-22
13456,TSRO,TESARO INC,2019-01-22
86553,EVO,EATON VANCE OHIO MUN INC TR,2019-01-22
86551,MMV,EATON VANCE MASS MUN INC TR,2019-01-22
89591,EIO,EATON VANCE OH MUNICIPAL BD FD,2019-01-22
89596,EIP,EATON VANCE PA MUNICIPAL BD FD,2019-01-22
89593,EMJ,EATON VANCE NJ MUNICIPAL BD FD,2019-01-22
14600,KANG,IKANG HEALTHCARE GROUP INC,2019-01-22
75032,APB,ASIA PACIFIC FUND INC,2019-01-24
16988,WINR,SIMPLICITY ESPORTS & GAMING CO,2019-01-24
14956,DM,DOMINION ENERGY MIDSTREAM PTN LP,2019-01-28
89625,ENLK,ENLINK MIDSTREAM PARTNERS LP,2019-01-28
15363,BOJA,BOJANGLES INC,2019-01-28
13740,CVRR,C V R REFINING LP,2019-01-29
79303,ESND,ESSENDANT INC,2019-01-31
90274,ANCX,ACCESS NATIONAL CORP,2019-02-01
16519,WRD,WILDHORSE RESOURCE DEV CORP,2019-02-01
51633,VVC,VECTREN CORP,2019-02-01
17097,SEND,SENDGRID INC,2019-02-01
12873,P,PANDORA MEDIA INC,2019-02-01
32054,ESIO,ELECTRO SCIENTIFIC INDS INC,2019-02-04
17441,JPBI,EXCHANGE LISTED FUNDS TRUST,2019-02-06
17829,BKC,EXCHANGE LISTED FUNDS TRUST,2019-02-06
88590,DNB,DUN & BRADSTREET CORP DEL NEW,2019-02-08
84206,EMITF,ELBIT IMAGING LTD,2019-02-08
13569,BXE,BELLATRIX EXPLORATION LTD,2019-02-11
85320,HMNY,HELIOS & MATHESON ANALYTICS INC,2019-02-12
92296,ATHN,ATHENAHEALTH INC,2019-02-12
89796,IPAS,IPASS INC,2019-02-13
92687,RGSE,REAL GOODS SOLAR INC,2019-02-14
79915,NFX,NEWFIELD EXPLORATION CO,2019-02-14
14871,LOXO,LOXO ONCOLOGY INC,2019-02-15
15430,MB,MINDBODY INC,2019-02-15
89977,AHL,ASPEN INSURANCE HOLDINGS LTD,2019-02-15
13139,SN,SANCHEZ ENERGY CORP,2019-02-19
78527,ORBK,ORBOTECH LTD,2019-02-20
92142,PAF,INVESCO E T F TRUST II,2019-02-21
17753,WMCR,INVESCO E T F TRUST,2019-02-21
91532,PUW,INVESCO E T F TRUST,2019-02-21
92783,PAGG,INVESCO E T F TRUST II,2019-02-21
12995,DSUM,INVESCO E T F TRUST II,2019-02-21
17585,SPVM,INVESCO E T F TRUST II,2019-02-21
17841,ENY,INVESCO E T F TRUST II,2019-02-21
17714,HGI,INVESCO E T F TRUST II,2019-02-21
14659,LALT,INVESCO ACTIVELY MANAGED ETF TR,2019-02-21
17752,OEW,INVESCO E T F TRUST,2019-02-21
92787,PSAU,INVESCO E T F TRUST II,2019-02-21
17711,YAO,INVESCO E T F TRUST II,2019-02-21
90845,PZI,INVESCO E T F TRUST,2019-02-21
16165,DWLV,INVESCO E T F TRUST II,2019-02-21
92804,PXR,INVESCO E T F TRUST II,2019-02-21
17844,WREI,INVESCO E T F TRUST,2019-02-21
17763,OVLC,INVESCO ET SELF INDEX FD TR,2019-02-21
91646,EQWS,INVESCO E T F TRUST,2019-02-21
17762,GMFL,INVESCO ET SELF INDEX FD TR,2019-02-21
90957,NXTM,NXSTAGE MEDICAL INC,2019-02-22
76330,MOC,COMMAND SECURITY CORP,2019-02-22
13396,TAHO,TAHOE RESOURCES INC,2019-02-22
77066,MSF,MORGAN STANLEY EMG MKS FD INC N,2019-02-25
86557,EVJ,EATON VANCE NEW JERSEY MUN INC T,2019-02-25
90698,TLP,TRANSMONTAIGNE PARTNERS L P,2019-02-27
13691,SXE,SOUTHCROSS ENERGY PARTNERS L P,2019-02-27
92672,WES,WESTERN GAS PARTNERS LP,2019-02-28
93031,REN,RESOLUTE ENERGY CORP,2019-03-01
14881,NXEO,NEXEO SOLUTIONS INC,2019-03-01
92195,BNCL,BENEFICIAL BANCORP INC,2019-03-01
46392,ITG,INVESTMENT TECHNOLOGY GP INC NEW,2019-03-01
84581,PTX,PERNIX THERAPEUTICS HLDGS INC,2019-03-04
16023,BUZ,ALPS E T F TRUST,2019-03-04
91391,WIN,WINDSTREAM HOLDINGS INC,2019-03-05
17523,SPA,SPARTON CORP,2019-03-05
27204,OHGI,ONE HORIZON GROUP INC,2019-03-07
13167,SGYP,SYNERGY PHARMACEUTICALS INC,2019-03-07
13145,GZT,GAZIT GLOBE LTD,2019-03-07
88379,NTRI,NUTRISYSTEM INC,2019-03-08
14950,AST,ASTERIAS BIOTHERAPEUTICS INC,2019-03-08
90053,TIK,TEL INSTRUMENT ELECTRONICS CORP,2019-03-08
90527,NSU,NEVSUN RESOURCES LTD,2019-03-08
14890,CIVI,CIVITAS SOLUTIONS INC,2019-03-08
92155,ESNC,ENSYNC INC,2019-03-11
15031,AM,ANTERO MIDSTREAM PARTNERS LP,2019-03-13
50788,ESL,ESTERLINE TECHNOLOGIES CORP,2019-03-14
15330,JHDG,WISDOMTREE TRUST,2019-03-15
91338,AUSE,WISDOMTREE TRUST,2019-03-15
12638,ALD,WISDOMTREE TRUST,2019-03-15
17642,GSD,WISDOMTREE TRUST,2019-03-15
17641,HGSD,WISDOMTREE TRUST,2019-03-15
14582,DXJF,WISDOMTREE TRUST,2019-03-15
92677,BZF,WISDOMTREE TRUST,2019-03-15
17638,EDOM,WISDOMTREE TRUST,2019-03-15
15910,UDBI,LEGG MASON ETF INVESTMENT TR,2019-03-18
15900,DDBI,LEGG MASON ETF INVESTMENT TR,2019-03-18
15901,EDBI,LEGG MASON ETF INVESTMENT TR,2019-03-18
16658,ICAN,E T F SERIES SOLUTIONS,2019-03-19
90441,TFCFA,TWENTY FIRST CENTURY FOX INC,2019-03-20
17114,HYAC,HAYMAKER ACQUISITION CORP,2019-03-20
93082,IPCI,INTELLIPHARMACEUTICS INTL INC,2019-03-20
90442,TFCF,TWENTY FIRST CENTURY FOX INC,2019-03-20
81541,MBFI,M B FINANCIAL INC NEW,2019-03-22
12833,FWDI,ADVISORSHARES TRUST,2019-03-25
12834,FWDD,ADVISORSHARES TRUST,2019-03-25
89586,EIV,EATON VANCE MUNICIPAL BD FD II,2019-03-25
62368,PHII,P H I INC,2019-03-25
62376,PHIIK,P H I INC,2019-03-25
93095,CLD,CLOUD PEAK ENERGY INC,2019-03-26
13970,THST,TRUETT HURST INC,2019-03-27
16040,JPIH,J P MORGAN E T F TRUST,2019-03-29
89332,DDE,DOVER DOWNS GAMING & ENTMT INC,2019-03-29
16041,JPEH,J P MORGAN E T F TRUST,2019-03-29
14034,ORM,OWENS REALTY MORTGAGE INC,2019-03-29
90791,TIS,ORCHIDS PAPER PRODUCTS CO,2019-03-29
16568,HUNT,HUNTER MARITIME ACQUISITION CORP,2019-04-01
16470,SCAC,SABAN CAPITAL ACQUISITION CORP,2019-04-01
16385,HMTA,HOMETOWN BANKSHARES CORP,2019-04-01
13037,BLMT,B S B BANCORP INC MD,2019-04-01
44506,IDTI,INTEGRATED DEVICE TECHNOLOGY,2019-04-01
15270,NCOM,NATIONAL COMMERCE CORP,2019-04-01
14792,BHBK,BLUE HILLS BANCORP INC,2019-04-01
14805,IMDZ,IMMUNE DESIGN CORP,2019-04-02
10656,ACET,ACETO CORP,2019-04-02
15538,PGLC,PERSHING GOLD CORP,2019-04-04
79564,ARRS,ARRIS INTERNATIONAL PLC,2019-04-04
15350,DHVW,E T F SERIES SOLUTIONS,2019-04-05
80725,APF,MORGAN STANLEY ASIA PAC FD INC,2019-04-08
15911,GNRX,VANECK VECTORS E T F TRUST,2019-04-08
92888,PRB,VANECK VECTORS E T F TRUST,2019-04-08
93102,PLND,VANECK VECTORS E T F TRUST,2019-04-08
15033,EHIC,EHI CAR SERVICES LTD,2019-04-10
45495,RDC,ROWAN COMPANIES PLC,2019-04-11
18310,FLF,FEDERAL LIFE GROUP INC,2019-04-12
21785,CAW,C C A INDUSTRIES INC,2019-04-12
16551,CUMB,ETFIS SERIES TRUST I,2019-04-15
16683,VEAC,VANTAGE ENERGY ACQUISITION CORP,2019-04-16
12645,ELLI,ELLIE MAE INC,2019-04-17
91434,OSIR,OSIRIS THERAPEUTICS INC NEW,2019-04-17
77478,CBK,CHRISTOPHER AND BANKS CORP,2019-04-17
88495,BEL,BELMOND LTD,2019-04-17
16879,CMTA,CLEMENTIA PHARMACEUTICALS INC,2019-04-18
87199,IIJI,INTERNET INITIATIVE JAPAN INC,2019-04-18
69892,GG,GOLDCORP INC NEW,2019-04-18
86191,CASM,C A S MEDICAL SYSTEMS INC,2019-04-22
14055,OMED,ONCOMED PHARMACEUTICALS INC,2019-04-23
90556,FSNN,FUSION CONNECT INC,2019-04-24
15181,LENS,PRESBIA PLC,2019-04-24
90865,KONA,KONA GRILL INC,2019-04-24
79244,USG,U S G CORP,2019-04-24
14530,AKAO,ACHAOGEN INC,2019-04-25
14473,EQLT,ALPS E T F TRUST,2019-04-29
14188,DBUK,D B X ETF TRUST,2019-05-01
15601,GRMY,D B X ETF TRUST,2019-05-01
13642,HBK,HAMILTON BANCORP INC MD,2019-05-01
80357,GPIC,GAMING PARTNERS INTL CORP,2019-05-02
89281,AKP,ALLIANCE CA MUN INC FD,2019-05-03
86196,ULTI,ULTIMATE SOFTWARE GROUP,2019-05-03
78201,ATTU,ATTUNITY LTD,2019-05-06
84268,TISA,TOP IMAGE SYSTEMS LTD,2019-05-06
59089,BRS,BRISTOW GROUP INC,2019-05-10
18152,CCC,CHURCHILL CAPITAL CORP,2019-05-14
51960,MXWL,MAXWELL TECHNOLOGIES INC,2019-05-16
17537,QXTR,NORTHERN LIGHTS FUND TR IV,2019-05-17
17536,XUSA,NORTHERN LIGHTS FUND TR IV,2019-05-17
17539,QXGG,NORTHERN LIGHTS FUND TR IV,2019-05-17
16332,MRT,MEDEQUITIES REALTY TRUST INC,2019-05-17
15159,HIFR,INFRAREIT INC,2019-05-17
90421,SIFI,S I FINANCIAL GROUP INC MD,2019-05-20
14392,EPE,E P ENERGY CORP,2019-05-22
10395,NAVG,NAVIGATORS GROUP INC,2019-05-23
14654,FRSH,PAPA MURPHYS HOLDINGS INC,2019-05-23
14223,RDIV,OPPENHEIMER E T F TR,2019-05-28
17557,RGLB,OPPENHEIMER E T F TR,2019-05-28
17556,REFA,OPPENHEIMER E T F TR,2019-05-28
17560,REEM,OPPENHEIMER E T F TR,2019-05-28
17555,OMFL,OPPENHEIMER E T F TR,2019-05-28
92574,RWK,OPPENHEIMER E T F TR,2019-05-28
17552,OMOM,OPPENHEIMER E T F TR,2019-05-28
92576,RWJ,OPPENHEIMER E T F TR,2019-05-28
92573,RWL,OPPENHEIMER E T F TR,2019-05-28
17553,OSIZ,OPPENHEIMER E T F TR,2019-05-28
17554,OYLD,OPPENHEIMER E T F TR,2019-05-28
92848,RWW,OPPENHEIMER E T F TR,2019-05-28
18031,RIDV,OPPENHEIMER E T F TR,2019-05-28
18034,REDV,OPPENHEIMER E T F TR,2019-05-28
17548,OMFS,OPPENHEIMER E T F TR,2019-05-28
16444,ESGL,OPPENHEIMER E T F TR,2019-05-28
17550,OVOL,OPPENHEIMER E T F TR,2019-05-28
16445,ESGF,OPPENHEIMER E T F TR,2019-05-28
17551,OQAL,OPPENHEIMER E T F TR,2019-05-28
17549,OVLU,OPPENHEIMER E T F TR,2019-05-28
15730,XINA,SPDR INDEX SHARES FUNDS,2019-05-30
13895,EMES,EMERGE ENERGY SERVICES LP,2019-05-30
14918,TVPT,TRAVELPORT WORLDWIDE LTD,2019-05-31
10838,CYTR,CYTRX CORP,2019-06-03
16930,NITE,NIGHTSTAR THERAPEUTICS PLC,2019-06-07
14848,WBIH,ABSOLUTE SHARES TRUST,2019-06-10
16147,WBIR,ABSOLUTE SHARES TRUST,2019-06-10
43772,BMS,BEMIS CO INC,2019-06-11
